constructor_results_id,race_id,constructor_id,points
0,48,103,13.0
1,48,5,12.0
2,54,126,0.0
3,54,103,15.0
4,54,5,9.0
5,64,85,8.0
6,64,5,6.0
7,64,103,3.0
8,65,125,0.0
9,65,123,0.0
10,65,103,0.0
11,65,31,0.0
12,65,116,0.0
13,65,5,6.0
14,65,85,8.0
15,65,64,2.0
16,66,93,0.0
17,66,103,0.0
18,66,5,2.0
19,66,31,0.0
20,66,64,6.0
21,66,116,8.0
22,66,85,3.0
23,68,103,0.0
24,68,116,8.0
25,68,5,6.0
26,68,31,3.0
27,68,64,2.0
28,68,85,0.0
29,69,31,0.0
30,69,103,3.0
31,69,64,0.0
32,69,85,0.0
33,69,5,8.0
34,69,116,6.0
35,70,5,8.0
36,70,85,4.0
37,70,116,3.0
38,70,64,2.0
39,70,103,0.0
40,70,31,0.0
41,70,123,0.0
42,71,103,0.0
43,71,64,0.0
44,71,93,0.0
45,71,31,0.0
46,71,85,6.0
47,71,116,8.0
48,71,5,3.0
49,72,116,8.0
50,72,5,6.0
51,72,64,3.0
52,72,85,0.0
53,72,103,0.0
54,72,31,0.0
55,73,31,0.0
56,73,116,8.0
57,73,5,6.0
58,73,103,0.0
59,73,85,2.0
60,73,64,0.0
61,74,64,5.0
62,74,103,0.0
63,74,85,0.0
64,74,116,9.0
65,74,31,0.0
66,74,5,10.0
67,75,64,0.0
68,75,93,0.0
69,75,103,0.0
70,75,167,8.0
71,75,5,6.0
72,75,163,0.0
73,75,31,0.0
74,76,111,0.0
75,76,106,3.0
76,76,105,8.0
77,76,108,5.0
78,76,113,0.0
79,76,107,0.0
80,76,119,0.0
81,76,118,0.0
82,76,117,0.0
83,76,112,0.0
84,76,120,0.0
85,77,167,6.0
86,77,31,3.0
87,77,5,2.0
88,77,93,0.0
89,77,64,8.0
90,77,115,0.0
91,78,167,4.0
92,78,103,0.0
93,78,163,0.0
94,78,5,8.0
95,78,31,0.0
96,79,166,0.0
97,79,103,0.0
98,79,99,0.0
99,79,116,0.0
100,79,121,0.0
101,79,31,0.0
102,79,163,0.0
103,79,167,8.0
104,79,64,6.0
105,79,115,0.0
106,80,167,3.0
107,80,163,0.0
108,80,31,0.0
109,80,64,2.0
110,80,5,8.0
111,81,163,0.0
112,81,64,2.0
113,81,5,4.0
114,81,167,8.0
115,81,115,0.0
116,81,31,0.0
117,82,31,0.0
118,82,103,0.0
119,82,163,0.0
120,82,115,0.0
121,82,64,0.0
122,82,5,6.0
123,82,167,8.0
124,83,166,0.0
125,83,5,4.0
126,83,167,8.0
127,83,93,0.0
128,83,163,0.0
129,83,111,0.0
130,83,165,0.0
131,83,122,0.0
132,83,31,2.0
133,83,123,0.0
134,83,103,0.0
135,84,31,1.0
136,84,163,3.0
137,84,64,0.0
138,84,167,8.0
139,84,103,0.0
140,84,5,8.0
141,84,102,0.0
142,85,99,0.0
143,85,167,6.0
144,85,5,4.0
145,85,64,2.0
146,85,163,0.0
147,85,168,0.0
148,85,104,0.0
149,85,31,8.0
150,86,107,3.0
151,86,106,4.0
152,86,105,8.0
153,86,111,0.0
154,86,110,0.0
155,86,108,2.0
156,86,112,0.0
157,86,113,0.0
158,86,114,0.0
159,86,109,1.0
160,87,104,0.0
161,87,163,0.0
162,87,5,2.0
163,87,64,4.0
164,87,31,6.0
165,87,167,8.0
166,87,115,0.0
167,88,5,3.0
168,88,167,8.0
169,88,31,2.0
170,88,104,0.0
171,88,64,0.0
172,89,104,0.0
173,89,168,0.0
174,89,64,0.0
175,89,116,0.0
176,89,163,0.0
177,89,31,2.0
178,89,167,8.0
179,89,5,0.0
180,90,167,8.0
181,90,31,6.0
182,90,64,0.0
183,90,115,0.0
184,90,99,0.0
185,90,163,0.0
186,90,168,0.0
187,90,5,1.0
188,91,163,0.0
189,91,64,0.0
190,91,5,3.0
191,91,31,4.0
192,91,167,8.0
193,92,103,0.0
194,92,168,3.0
195,92,99,0.0
196,92,102,0.0
197,92,167,0.0
198,92,93,1.0
199,92,163,0.0
200,92,5,8.0
201,93,168,0.0
202,93,103,0.0
203,93,104,0.0
204,93,167,4.0
205,93,64,2.0
206,93,163,0.0
207,93,31,8.0
208,94,167,1.0
209,94,163,0.0
210,94,64,0.0
211,94,97,0.0
212,94,169,9.0
213,94,93,2.0
214,94,5,6.0
215,95,167,1.0
216,95,5,9.0
217,95,93,0.0
218,95,169,4.0
219,95,64,0.0
220,96,163,0.0
221,96,5,9.0
222,96,93,1.0
223,96,167,2.0
224,96,169,0.0
225,96,64,0.0
226,97,99,0.0
227,97,64,1.0
228,97,5,9.0
229,97,163,0.0
230,97,171,0.0
231,97,97,0.0
232,97,93,6.0
233,97,169,4.0
234,97,167,2.0
235,98,95,0.0
236,98,100,0.0
237,98,97,0.0
238,98,163,0.0
239,98,64,0.0
240,98,169,0.0
241,98,93,2.0
242,98,167,4.0
243,98,5,19.0
244,99,163,0.0
245,99,64,0.0
246,99,101,0.0
247,99,93,0.0
248,99,167,2.0
249,99,5,6.0
250,99,169,9.0
251,100,5,9.0
252,100,171,0.0
253,100,99,0.0
254,100,172,0.0
255,100,170,0.0
256,100,169,0.0
257,100,163,0.0
258,100,167,4.0
259,100,64,2.0
260,100,93,6.0
261,100,97,0.0
262,101,93,6.0
263,101,167,3.0
264,101,64,4.0
265,101,169,9.0
266,102,64,9.0
267,102,169,6.0
268,102,25,0.0
269,102,97,0.0
270,102,167,2.0
271,102,5,4.0
272,102,93,1.0
273,103,172,0.0
274,103,173,0.0
275,103,169,0.0
276,103,64,1.0
277,103,93,2.0
278,103,25,3.0
279,103,167,9.0
280,103,5,6.0
281,104,173,0.0
282,104,25,2.0
283,104,64,6.0
284,104,5,4.0
285,104,93,0.0
286,104,167,0.0
287,104,169,9.0
288,105,93,9.0
289,105,173,0.0
290,105,31,0.0
291,105,167,6.0
292,105,64,4.0
293,105,25,2.0
294,105,169,0.0
295,105,85,0.0
296,106,64,3.0
297,106,93,0.0
298,106,97,0.0
299,106,5,0.0
300,106,173,0.0
301,106,95,0.0
302,106,169,9.0
303,106,25,6.0
304,106,167,4.0
305,107,5,1.0
306,107,25,6.0
307,107,98,0.0
308,107,64,9.0
309,107,33,0.0
310,107,95,0.0
311,107,173,0.0
312,107,93,4.0
313,107,169,3.0
314,107,167,2.0
315,108,93,1.0
316,108,169,0.0
317,108,173,0.0
318,108,97,0.0
319,108,95,0.0
320,108,25,0.0
321,108,64,9.0
322,108,167,4.0
323,108,174,0.0
324,108,84,0.0
325,108,171,0.0
326,108,5,3.0
327,109,169,9.0
328,109,33,3.0
329,109,93,2.0
330,109,173,1.0
331,109,64,6.0
332,109,167,4.0
333,109,25,0.0
334,110,93,0.0
335,110,25,0.0
336,110,33,3.0
337,110,87,0.0
338,110,169,2.0
339,110,97,0.0
340,110,64,9.0
341,110,167,6.0
342,110,175,0.0
343,111,25,0.0
344,111,173,0.0
345,111,169,1.0
346,111,33,0.0
347,111,93,0.0
348,111,90,0.0
349,111,84,0.0
350,111,5,3.0
351,111,167,4.0
352,111,64,9.0
353,111,52,0.0
