constructor_standings_id,race_id,constructor_id,points,position,wins
0,64,103,3.0,3,0
1,64,5,6.0,2,0
2,64,85,8.0,1,1
3,65,85,16.0,1,2
4,65,31,0.0,5,0
5,65,64,2.0,4,0
6,65,103,3.0,3,0
7,65,5,12.0,2,0
8,65,125,0.0,8,0
9,65,116,0.0,6,0
10,65,123,0.0,7,0
11,66,116,8.0,3,1
12,66,93,0.0,7,0
13,66,125,0.0,9,0
14,66,123,0.0,8,0
15,66,64,8.0,4,0
16,66,31,0.0,6,0
17,66,103,3.0,5,0
18,66,5,14.0,2,0
19,66,85,19.0,1,2
20,67,123,0.0,8,0
21,67,125,0.0,9,0
22,67,5,14.0,2,0
23,67,116,8.0,3,1
24,67,31,0.0,6,0
25,67,64,8.0,4,0
26,67,85,19.0,1,2
27,67,103,3.0,5,0
28,67,93,0.0,7,0
29,68,64,10.0,4,0
30,68,103,3.0,5,0
31,68,5,20.0,1,0
32,68,31,3.0,6,0
33,68,116,16.0,3,2
34,68,85,19.0,2,2
35,68,93,0.0,7,0
36,68,123,0.0,8,0
37,68,125,0.0,9,0
38,69,93,0.0,7,0
39,69,125,0.0,9,0
40,69,123,0.0,8,0
41,69,116,22.0,2,2
42,69,31,3.0,6,0
43,69,5,28.0,1,1
44,69,103,6.0,5,0
45,69,85,19.0,3,2
46,69,64,10.0,4,0
47,70,5,36.0,1,2
48,70,85,23.0,3,2
49,70,64,12.0,4,0
50,70,93,0.0,7,0
51,70,125,0.0,9,0
52,70,123,0.0,8,0
53,70,116,25.0,2,2
54,70,31,3.0,6,0
55,70,103,6.0,5,0
56,71,103,6.0,5,0
57,71,31,3.0,6,0
58,71,64,12.0,4,0
59,71,116,33.0,2,3
60,71,123,0.0,8,0
61,71,125,0.0,9,0
62,71,93,0.0,7,0
63,71,85,29.0,3,2
64,71,5,37.0,1,2
65,72,5,40.0,2,2
66,72,93,0.0,7,0
67,72,125,0.0,9,0
68,72,123,0.0,8,0
69,72,116,41.0,1,4
70,72,31,3.0,6,0
71,72,64,15.0,4,0
72,72,103,6.0,5,0
73,72,85,29.0,3,2
74,73,93,0.0,7,0
75,73,125,0.0,9,0
76,73,123,0.0,8,0
77,73,116,46.0,1,5
78,73,31,3.0,6,0
79,73,64,15.0,4,0
80,73,103,6.0,5,0
81,73,5,40.0,2,2
82,73,85,31.0,3,2
83,74,116,48.0,1,6
84,74,85,31.0,3,2
85,74,31,3.0,6,0
86,74,123,0.0,8,0
87,74,93,0.0,7,0
88,74,64,18.0,4,0
89,74,103,6.0,5,0
90,74,125,0.0,9,0
91,74,5,40.0,2,2
92,75,31,0.0,5,0
93,75,64,0.0,4,0
94,75,163,0.0,3,0
95,75,5,6.0,2,0
96,75,167,8.0,1,1
97,75,103,0.0,7,0
98,75,93,0.0,6,0
99,76,5,6.0,2,0
100,76,163,0.0,3,0
101,76,103,0.0,7,0
102,76,64,0.0,4,0
103,76,31,0.0,5,0
104,76,93,0.0,6,0
105,76,167,8.0,1,1
106,77,31,3.0,4,0
107,77,5,8.0,3,0
108,77,167,14.0,1,1
109,77,103,0.0,8,0
110,77,93,0.0,6,0
111,77,163,0.0,5,0
112,77,115,0.0,7,0
113,77,64,8.0,2,1
114,78,167,18.0,1,1
115,78,115,0.0,8,0
116,78,103,0.0,6,0
117,78,93,0.0,7,0
118,78,31,3.0,4,0
119,78,64,8.0,3,1
120,78,163,0.0,5,0
121,78,5,16.0,2,1
122,79,116,0.0,11,0
123,79,121,0.0,12,0
124,79,64,14.0,3,1
125,79,99,0.0,10,0
126,79,167,26.0,1,2
127,79,166,0.0,8,0
128,79,5,16.0,2,1
129,79,115,0.0,5,0
130,79,103,0.0,7,0
131,79,163,0.0,6,0
132,79,93,0.0,9,0
133,79,31,3.0,4,0
134,80,121,0.0,12,0
135,80,116,0.0,11,0
136,80,115,0.0,6,0
137,80,167,29.0,1,2
138,80,5,24.0,2,2
139,80,163,0.0,5,0
140,80,31,3.0,4,0
141,80,93,0.0,9,0
142,80,103,0.0,7,0
143,80,99,0.0,10,0
144,80,64,16.0,3,1
145,80,166,0.0,8,0
146,81,166,0.0,8,0
147,81,115,0.0,5,0
148,81,31,3.0,4,0
149,81,64,18.0,3,1
150,81,163,0.0,6,0
151,81,5,28.0,2,2
152,81,167,34.0,1,3
153,81,103,0.0,7,0
154,81,99,0.0,10,0
155,81,121,0.0,12,0
156,81,116,0.0,11,0
157,81,93,0.0,9,0
158,82,93,0.0,9,0
159,82,115,0.0,5,0
160,82,99,0.0,10,0
161,82,116,0.0,11,0
162,82,103,0.0,7,0
163,82,31,3.0,4,0
164,82,166,0.0,8,0
165,82,163,0.0,6,0
166,82,5,32.0,2,2
167,82,167,38.0,1,4
168,82,64,18.0,3,1
169,82,121,0.0,12,0
170,83,123,0.0,13,0
171,83,111,0.0,7,0
172,83,121,0.0,16,0
173,83,116,0.0,15,0
174,83,99,0.0,14,0
175,83,166,0.0,10,0
176,83,115,0.0,5,0
177,83,103,0.0,9,0
178,83,93,0.0,8,0
179,83,31,5.0,4,0
180,83,64,18.0,3,1
181,83,163,0.0,6,0
182,83,5,32.0,2,2
183,83,167,40.0,1,5
184,83,165,0.0,11,0
185,83,122,0.0,12,0
186,84,31,1.0,4,0
187,84,167,8.0,1,1
188,84,102,0.0,6,0
189,84,163,3.0,3,0
190,84,64,0.0,5,0
191,84,5,6.0,2,0
192,84,103,0.0,7,0
193,85,163,3.0,4,0
194,85,103,0.0,7,0
195,85,31,9.0,3,1
196,85,102,0.0,6,0
197,85,104,0.0,9,0
198,85,5,10.0,2,0
199,85,168,0.0,10,0
200,85,99,0.0,8,0
201,85,64,2.0,5,0
202,85,167,14.0,1,1
203,86,64,2.0,5,0
204,86,103,0.0,7,0
205,86,104,0.0,9,0
206,86,167,14.0,1,1
207,86,168,0.0,10,0
208,86,102,0.0,6,0
209,86,5,10.0,2,0
210,86,163,3.0,4,0
211,86,31,9.0,3,1
212,86,99,0.0,8,0
213,87,168,0.0,11,0
214,87,103,0.0,7,0
215,87,104,0.0,10,0
216,87,163,3.0,5,0
217,87,102,0.0,6,0
218,87,99,0.0,9,0
219,87,115,0.0,8,0
220,87,5,12.0,3,0
221,87,31,15.0,2,1
222,87,167,22.0,1,2
223,87,64,6.0,4,0
224,88,102,0.0,6,0
225,88,99,0.0,10,0
226,88,167,30.0,1,3
227,88,31,17.0,2,1
228,88,64,6.0,4,0
229,88,163,3.0,5,0
230,88,103,0.0,7,0
231,88,115,0.0,9,0
232,88,5,15.0,3,0
233,88,104,0.0,8,0
234,88,168,0.0,11,0
235,89,168,0.0,9,0
236,89,64,6.0,4,0
237,89,104,0.0,8,0
238,89,31,19.0,2,1
239,89,5,15.0,3,0
240,89,167,38.0,1,4
241,89,102,0.0,6,0
242,89,103,0.0,7,0
243,89,116,0.0,11,0
244,89,99,0.0,12,0
245,89,163,3.0,5,0
246,89,115,0.0,10,0
247,90,104,0.0,11,0
248,90,168,0.0,10,0
249,90,115,0.0,6,0
250,90,116,0.0,12,0
