race_id,year,round,circuit_id
0,1950,1,8
1,1950,2,5
2,1950,3,18
3,1950,4,65
4,1950,5,12
5,1950,6,54
6,1950,7,13
7,1951,1,65
8,1951,2,18
9,1951,3,12
10,1951,4,54
11,1951,5,8
12,1951,6,19
13,1951,7,13
14,1951,8,66
15,1952,1,65
16,1952,2,18
17,1952,3,12
18,1952,4,52
19,1952,5,8
20,1952,6,19
21,1952,7,38
22,1952,8,13
23,1953,1,24
24,1953,2,18
25,1953,3,38
26,1953,4,12
27,1953,5,54
28,1953,6,8
29,1953,7,19
30,1953,8,65
31,1953,9,13
32,1954,1,24
33,1954,2,18
34,1954,3,12
35,1954,4,54
36,1954,5,8
37,1954,6,19
38,1954,7,65
39,1954,8,13
40,1954,9,66
41,1955,1,24
42,1955,2,5
43,1955,3,18
44,1955,4,12
45,1955,5,38
46,1955,6,57
47,1955,7,13
48,1956,1,24
49,1956,2,5
50,1956,3,18
51,1956,4,12
52,1956,5,54
53,1956,6,8
54,1956,7,19
55,1956,8,13
56,1957,1,24
57,1957,2,5
58,1957,3,18
59,1957,4,52
60,1957,5,57
61,1957,6,19
62,1957,7,64
63,1957,8,13
64,1958,1,24
65,1958,2,5
66,1958,3,38
67,1958,4,18
68,1958,5,12
69,1958,6,54
70,1958,7,8
71,1958,8,19
72,1958,9,58
73,1958,10,13
74,1958,11,63
75,1959,1,5
76,1959,2,18
77,1959,3,38
78,1959,4,54
79,1959,5,57
80,1959,6,60
81,1959,7,61
82,1959,8,13
83,1959,9,62
84,1960,1,24
85,1960,2,5
86,1960,3,18
87,1960,4,38
88,1960,5,12
89,1960,6,54
90,1960,7,8
91,1960,8,58
92,1960,9,13
93,1960,10,59
94,1961,1,5
95,1961,2,38
96,1961,3,12
97,1961,4,54
98,1961,5,57
99,1961,6,19
100,1961,7,13
101,1961,8,45
102,1962,1,38
103,1962,2,5
104,1962,3,12
105,1962,4,52
106,1962,5,57
107,1962,6,19
108,1962,7,13
109,1962,8,45
110,1962,9,55
111,1963,1,5
112,1963,2,12
113,1963,3,38
114,1963,4,54
115,1963,5,8
116,1963,6,19
117,1963,7,13
118,1963,8,45
119,1963,9,31
120,1963,10,55
121,1964,1,5
122,1964,2,38
123,1964,3,12
124,1964,4,52
125,1964,5,37
126,1964,6,19
127,1964,7,56
128,1964,8,13
129,1964,9,45
130,1964,10,31
131,1965,1,55
132,1965,2,5
133,1965,3,12
134,1965,4,50
135,1965,5,8
136,1965,6,38
137,1965,7,19
138,1965,8,13
139,1965,9,45
140,1965,10,31
141,1966,1,5
142,1966,2,12
143,1966,3,54
144,1966,4,37
