result_id,race_id,driver_id,constructor_id,grid,position_order,points,laps,status
0,0,660,152,21,11,0.0,64,15
1,0,790,149,12,21,0.0,2,123
2,0,579,49,3,12,0.0,62,43
3,0,661,149,10,20,0.0,5,5
4,0,789,152,7,19,0.0,8,50
5,0,589,103,11,18,0.0,26,7
6,0,640,103,8,17,0.0,36,4
7,0,785,124,17,16,0.0,43,6
8,0,747,103,18,15,0.0,44,4
9,0,778,103,20,10,0.0,64,15
10,0,741,152,14,8,0.0,65,14
11,0,784,103,16,9,0.0,64,15
12,0,619,149,13,6,0.0,67,12
13,0,627,152,9,5,2.0,68,11
14,0,704,152,6,4,3.0,68,11
15,0,686,49,4,3,4.0,70,0
16,0,786,49,2,2,6.0,70,0
17,0,642,49,1,1,9.0,70,0
18,0,669,103,5,14,0.0,49,57
19,0,776,124,19,13,0.0,57,59
20,0,666,149,10,20,0.0,5,5
21,0,788,103,20,10,0.0,64,15
22,0,787,149,15,7,0.0,67,12
23,1,589,103,8,3,4.0,98,11
24,1,579,49,1,1,9.0,100,0
25,1,647,5,7,2,6.0,99,10
26,1,793,5,9,4,3.0,97,12
27,1,626,139,11,14,0.0,0,2
28,1,619,149,16,6,0.0,94,15
29,1,660,152,19,7,0.0,94,15
30,1,633,5,6,8,0.0,63,106
31,1,741,152,4,9,0.0,38,43
32,1,498,103,3,10,0.0,1,2
33,1,786,49,5,12,0.0,0,2
34,1,627,152,10,13,0.0,0,2
35,1,640,103,12,15,0.0,0,2
36,1,426,139,13,16,0.0,0,2
37,1,787,149,14,17,0.0,0,2
38,1,762,103,17,18,0.0,0,2
39,1,501,85,20,19,0.0,0,3
40,1,687,5,21,20,0.0,0,4
41,1,669,103,15,5,2.0,95,14
42,1,642,49,2,11,0.0,0,2
43,1,792,103,18,21,0.0,0,2
44,2,593,111,5,1,9.0,138,0
45,2,529,148,8,31,0.0,30,64
46,2,611,111,25,30,0.0,42,50
47,2,799,111,32,29,0.0,52,123
48,2,615,111,2,28,0.0,64,43
49,2,798,159,17,27,0.0,108,50
50,2,729,160,22,26,0.0,111,6
51,2,731,103,21,25,0.0,112,67
52,2,509,158,28,24,0.0,122,113
53,2,797,157,30,23,0.0,123,19
54,2,796,156,29,22,0.0,123,109
55,2,537,105,18,32,0.0,25,82
56,2,659,111,15,21,0.0,125,51
57,2,771,111,20,19,0.0,127,44
58,2,732,111,33,18,0.0,128,85
59,2,653,114,27,17,0.0,128,85
60,2,520,155,31,16,0.0,128,85
61,2,526,108,24,15,0.0,130,17
62,2,658,111,6,14,0.0,131,19
63,2,772,111,26,13,0.0,132,15
64,2,518,127,13,12,0.0,133,14
65,2,795,154,16,11,0.0,133,14
66,2,559,111,11,10,0.0,135,12
67,2,677,103,14,20,0.0,126,53
68,2,555,136,19,9,0.0,135,12
69,2,630,111,7,33,0.0,10,43
70,2,726,108,4,8,0.0,135,12
71,2,701,148,10,2,6.0,137,10
72,2,768,148,3,3,4.0,137,10
73,2,770,111,12,4,3.0,137,10
74,2,794,111,9,5,1.0,136,11
75,2,766,117,23,6,0.0,136,11
76,2,654,111,1,7,0.0,135,12
77,2,803,159,17,27,0.0,108,50
78,2,529,111,9,5,1.0,136,11
79,3,741,152,6,13,0.0,25,5
80,3,789,152,9,14,0.0,19,2
81,3,793,5,13,15,0.0,19,21
82,3,633,5,4,16,0.0,9,4
83,3,786,49,3,2,6.0,42,0
84,3,642,49,2,1,9.0,42,0
85,3,660,152,14,10,0.0,38,13
86,3,589,103,16,9,0.0,39,12
87,3,501,152,18,8,0.0,39,12
88,3,800,103,15,7,0.0,39,12
89,3,640,103,11,6,0.0,40,11
90,3,697,103,12,5,2.0,40,11
91,3,669,103,8,4,3.0,40,11
92,3,627,152,10,3,4.0,41,10
93,3,579,49,1,12,0.0,32,4
94,3,647,5,5,17,0.0,4,91
95,3,704,152,7,18,0.0,0,2
96,3,780,103,17,11,0.0,35,16
97,4,774,152,13,11,0.0,22,105
98,4,704,152,9,14,0.0,2,105
99,4,741,152,6,13,0.0,15,24
100,4,793,152,5,12,0.0,20,50
101,4,780,103,11,10,0.0,29,15
102,4,785,124,12,9,0.0,30,14
103,4,773,152,10,7,0.0,33,11
104,4,660,152,14,8,0.0,22,12
105,4,647,5,7,5,2.0,34,10
106,4,642,49,1,4,4.0,35,0
